buffer_post_id,channel_id,created_at,content_preview,impressions,reactions,comments,shares,external_link,share_mode
6a6f556d3b80f72e7b57cd9f,6a5406f680cc80cdcaa81502,2026-08-01T15:53:49.133Z,True digital sovereignty and optimization don't just come from intelligent platforms; they come from architectural simplicity.  The overview of OpenShift 4.22 is compelling. The integration of Karpent,28,1,1,0,https://www.linkedin.com/feed/update/urn:li:share:7489347666049650689,customScheduled
6a6d98e31fd9fe29e8e375da,6a5406f680cc80cdcaa81502,2026-08-01T06:56:43.063Z,"Demand of Edge AI in Safety Critical World Building and scaling Edge AI in safety-critical, hard-real-time automotive environments is the most demanding engineering challenge in the consumer technolog",0,0,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489212500513562624,customScheduled
6a6d2662fb906d11ca5ee384,6a5406f680cc80cdcaa81502,2026-07-31T21:26:08.948Z,"IT vs. OT: who owns transformation? @Jeff Winter That last line hits the nail on the head: ""The factory does not care which department won the argument."" Too often, convergence is treated as an IT tak",13,0,0,0,https://www.linkedin.com/feed/update/urn:li:share:7489068912236630016,customScheduled
6a6d2662fb906d11ca5ee381,6a5406f680cc80cdcaa81502,2026-07-31T22:45:09.039Z,Software vs. The Shop Floor: Why AI is Exposing the IT/OT Divide Conversation between @Jeff Winter and @jonathan on the post IT vs. OT was spot on to stark reality. But Jeff hit the exact pain point: ,69,0,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489088793225011200,customScheduled
6a6d0b9fb1269d1982bd5e58,6a5406f680cc80cdcaa81502,2026-07-31T17:41:46.376Z,"AI can help us create more work, faster. @Nick Wojdyla This is exactly what I’ve been feeling lately.  AI was supposed to simplify things, but in reality, my review backlog has never been bigger. It g",50,0,0,0,https://www.linkedin.com/feed/update/urn:li:share:7489012446087602176,customScheduled
6a6d0b9fb1269d1982bd5e56,6a5406f680cc80cdcaa81502,2026-07-31T20:04:02.522Z,"ContentIQ: You cannot systematically improve what you cannot see  If you treat content as a professional discipline, this is a massive operational gap. As we realized early on: you cannot systematical",74,0,1,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489048248893100032,customScheduled
6a6cdbd56bddb78e08818d0e,6a5406f680cc80cdcaa81502,2026-07-31T16:10:00.413Z,"𝗔𝗿𝗲 𝘆𝗼𝘂 𝘁𝗶𝗿𝗲𝗱 𝗼𝗳 𝘆𝗼𝘂𝗿 𝗟𝗶𝗻𝗸𝗲𝗱𝗜𝗻 𝗺𝗲𝘁𝗿𝗶𝗰𝘀 𝗱𝗶𝘀𝗮𝗽𝗽𝗲𝗮𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗱𝗮𝘆? 📉 s highlighted in the sources, LinkedIn's native dashboard only gives you a temporary snapshot—if you check today, yesterday's exact ",64,1,1,0,https://www.linkedin.com/feed/update/urn:li:share:7488988737549406208,customScheduled
6a6b8bbdd3da14bddd0c7133,6a5406f680cc80cdcaa81502,2026-07-30T17:37:23.803Z,"Remember last week's discussion about Microsoft and their ""principled stand"" on open weights for American competitiveness? https://lnkd.in/e2_yrMWA Today's announcement regarding Kimi K3 from Beijing-",51,1,0,0,https://www.linkedin.com/feed/update/urn:li:share:7488648954025377793,shareNow
6a6a1dac57a88eb1271988f7,6a5406f680cc80cdcaa81501,2026-07-23T22:17:13.066Z,"The technology moves fast enough that staying hands on with it isn't optional, it's the actual job. Just finished the Edge AI for Microcontrollers Specialization, working through real inference constr",1,0,0,0,https://www.linkedin.com/feed/update/urn:li:share:7486182660264886272,customScheduled
6a699323e027d938630ebff2,6a5406f680cc80cdcaa81502,2026-07-30T00:33:22.398Z,From the McKinseys; article what resonated  with me is the paradigm shift in seeing AI as acoworker. This fundamentally shifts the human role from being an isolated executor of tasks to an orchestrato,69,0,0,0,https://www.linkedin.com/feed/update/urn:li:share:7488391251663450112,customScheduled
6a69608da7b273d984dc32f3,6a5406f680cc80cdcaa81502,2026-07-29T00:52:50.518Z,The kitchen nobody owns!!,122,2,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7488033764628066304,customScheduled
6a695ceb184e05642c09cf0d,6a5406f680cc80cdcaa81502,2026-07-29T21:00:22.029Z,"Every kitchen has ingredients nobody remembers buying. Enterprise memory works the same way. Who decides what stays fresh and what gets tossed before it spoils the dish? New piece, link below.   https",56,0,0,0,https://www.linkedin.com/feed/update/urn:li:share:7488337647468351488,customScheduled
6a68d6545a97f4454252f161,6a5406f680cc80cdcaa81502,2026-07-26T22:06:46.902Z,"@Danielle Romanoff's post  reminded me of the time I ever led a project, I built the executive one-pager, our ""six-pack,"" back when everything still ran through PowerPoint decks for leadership review.",1705,1,0,0,https://www.linkedin.com/feed/update/urn:li:share:7487267195731771392,customScheduled
6a68d6545a97f4454252f152,6a5406f680cc80cdcaa81502,2026-07-27T11:31:59.027Z,Why Platform Thinking 𝑵𝒆𝒆𝒅𝒔 Enterprise Architecture TL;DR to my original post https://lnkd.in/ezCktBjU ,56,0,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7487469833798893568,customScheduled
6a68d6535a97f4454252f131,6a5406f680cc80cdcaa81502,2026-07-28T11:45:01.225Z,"Everyone likes to pick on the DMV. My favorite character of all time is probably Flash from Zootopia, the sloth at the counter moving at his own pace no matter how stressed out you are. Funny because ",96,0,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7486493027729969153,customScheduled
6a6425eddf211ece6f51ca90,6a5406f680cc80cdcaa81502,2026-07-24T11:15:03.083Z,"Jeff's framework assumes you're free to ask ""does this make it cheaper, faster, smarter, better, easier, repeatable."" But in a lot of manufacturing orgs, you don't even get to that question honestly, ",147,5,0,0,https://www.linkedin.com/feed/update/urn:li:share:7486268738783297536,customScheduled
6a6425eddf211ece6f51ca87,6a5406f680cc80cdcaa81502,2026-07-24T22:20:30.752Z,"Free workshop worth your time: voice agents at F100 scale, 10K calls a day, lessons on masking latency, dodging spam flags, and evaluating quality you can't manually check. Tue Jul 28, 4pm UTC. RSVP: ",217,0,0,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7486545878040702977,customScheduled
6a6425eddf211ece6f51ca83,6a5406f680cc80cdcaa81502,2026-07-24T17:57:42.207Z,"Love the framework suggested here, but I think it underweights how this plays out on the ground. The piece names the data foundation problem, one line under step two on modern data architecture and do",75,1,0,0,https://www.linkedin.com/feed/update/urn:li:share:7486479739461914624,customScheduled
6a6425eddf211ece6f51ca75,6a5406f680cc80cdcaa81502,2026-07-25T01:29:42.460Z,"𝗠𝗶𝗰𝗿𝗼𝘀𝗼𝗳𝘁 𝗗𝗶𝗱𝗻'𝘁 𝗪𝗮𝗶𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 𝗢𝗽𝗲𝗻 𝗪𝗲𝗶𝗴𝗵𝘁 𝗗𝗲𝗯𝗮𝘁𝗲 𝘁𝗼 𝗥𝗲𝘀𝗼𝗹𝘃𝗲  Instead they  formed a coalition of a16z, Meta, NVIDIA, Hugging Face, and others just published a joint statement on why open-weight AI mod",197,6,5,0,https://www.linkedin.com/feed/update/urn:li:ugcPost:7486593490433339393,customScheduled
6a632b9d723b0f008735b307,6a5406f680cc80cdcaa81502,2026-07-23T22:15:53.736Z,"Just wrapped up the Edge AI for Microcontrollers Specialization, and it turned into more of a refresher than I expected. Took me right back to Harman, working on a genuinely 0 to 1 product, multiple r",92,1,0,0,https://www.linkedin.com/feed/update/urn:li:share:7486182327937691650,customScheduled
