taplio_id,li_id,match_method,url,created_at,content_preview,impressions,likes,comments,shares
urn:li:activity:7488989353009029120,,,,2026-07-31T16:10:00.451Z,"𝗔𝗿𝗲 𝘆𝗼𝘂 𝘁𝗶𝗿𝗲𝗱 𝗼𝗳 𝘆𝗼𝘂𝗿 𝗟𝗶𝗻𝗸𝗲𝗱𝗜𝗻 𝗺𝗲𝘁𝗿𝗶𝗰𝘀 𝗱𝗶𝘀𝗮𝗽𝗽𝗲𝗮𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗱𝗮𝘆? 📉 s highlighted in the sources, LinkedIn's native dashboard only gives you a temporary snapshot—if you check today, yesterday's exact ",0,1,1,0
urn:li:activity:7488648957166899200,,,,2026-07-30T17:37:23.758Z,"Remember last week's discussion about Microsoft and their ""principled stand"" on open weights for American competitiveness? https://lnkd.in/e2_yrMWA Today's announcement regarding Kimi K3 from Beijing-",29,1,0,0
urn:li:activity:7488391253106257921,,,,2026-07-30T00:33:22.322Z,From the McKinseys; article what resonated  with me is the paradigm shift in seeing AI as acoworker. This fundamentally shifts the human role from being an isolated executor of tasks to an orchestrato,46,0,0,0
urn:li:activity:7488337648483405824,,,,2026-07-29T21:00:21.984Z,"Every kitchen has ingredients nobody remembers buying. Enterprise memory works the same way. Who decides what stays fresh and what gets tossed before it spoils the dish? New piece, link below.   https",42,0,0,0
urn:li:activity:7488033765244526592,,,,2026-07-29T00:52:50.574Z,"I read a post recently from Sarah on enterprise memory architecture, and I could not shake one image. A busy restaurant kitchen, every night, quietly ",73,1,0,1
urn:li:activity:7487835503392718848,,,,2026-07-28T11:45:01.265Z,"Everyone likes to pick on the DMV. My favorite character of all time is probably Flash from Zootopia, the sloth at the counter moving at his own pace no matter how stressed out you are. Funny because ",83,0,0,0
urn:li:activity:7487469834692292610,,,,2026-07-27T11:31:59.053Z,Why Platform Thinking 𝑵𝒆𝒆𝒅𝒔 Enterprise Architecture TL;DR to my original post https://lnkd.in/ezCktBjU,53,0,0,0
urn:li:activity:7487267198948802560,,,,2026-07-26T22:06:46.927Z,"Danielle Romanoff's post  reminded me of the time I ever led a project, I built the executive one-pager, our ""six-pack,"" back when everything still ran through PowerPoint decks for leadership review. ",1429,1,0,0
urn:li:activity:7486593491184156672,,,,2026-07-25T01:29:42.479Z,"𝗠𝗶𝗰𝗿𝗼𝘀𝗼𝗳𝘁 𝗗𝗶𝗱𝗻'𝘁 𝗪𝗮𝗶𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 𝗢𝗽𝗲𝗻 𝗪𝗲𝗶𝗴𝗵𝘁 𝗗𝗲𝗯𝗮𝘁𝗲 𝘁𝗼 𝗥𝗲𝘀𝗼𝗹𝘃𝗲  Instead they  formed a coalition of a16z, Meta, NVIDIA, Hugging Face, and others just published a joint statement on why open-weight AI mod",195,5,5,0
urn:li:activity:7486545878724468736,,,,2026-07-24T22:20:30.784Z,"Free workshop worth your time: voice agents at F100 scale, 10K calls a day, lessons on masking latency, dodging spam flags, and evaluating quality you can't manually check. Tue Jul 28, 4pm UTC. RSVP: ",209,0,0,0
urn:li:activity:7486479740598603776,,,,2026-07-24T17:57:42.226Z,"Love the framework suggested here, but I think it underweights how this plays out on the ground. The piece names the data foundation problem, one line under step two on modern data architecture and do",73,1,0,0
urn:li:activity:7486378410051567616,,,,2026-07-24T11:15:03.141Z,"Jeff's framework assumes you're free to ask ""does this make it cheaper, faster, smarter, better, easier, repeatable."" But in a lot of manufacturing orgs, you don't even get to that question honestly, ",141,2,0,0
urn:li:activity:7486182328906719232,,,,2026-07-23T22:15:53.753Z,"Just wrapped up the Edge AI for Microcontrollers Specialization, and it turned into more of a refresher than I expected. Took me right back to Harman, working on a genuinely 0 to 1 product, multiple r",87,1,0,0
urn:li:activity:7485661193932664832,,,,2026-07-22T11:45:05.493Z,𝐅𝐨𝐮𝐧𝐝 𝐚𝐧 𝐎𝐥𝐝 𝐅𝐫𝐢𝐞𝐧𝐝 𝐨𝐧 𝐂𝐚𝐭𝐞𝐫𝐩𝐢𝐥𝐥𝐚𝐫'𝐬 𝐖𝐞𝐛𝐬𝐢𝐭𝐞 𝐓𝐨𝐝𝐚𝐲 🔧 Caterpillar In-Cylinder Pressure Sensor (443-5682)  Was looking for something completely unrelated and stumbled across this. Didn't expect it to ca,245,0,0,0
urn:li:activity:7485412044792373248,,,,2026-07-21T19:15:03.709Z,"LinkedIn gives you a snapshot of your posts. It doesn't give you a story. So, after exporting my billionth manual spreadsheet, I decided to build the story myself.",97,1,0,0
urn:li:activity:7485053903672119296,,,,2026-07-20T19:31:56.212Z,"McKinsey's AI ladder reflects my work. At Xperi, ML decreased latency by 98%. At Harman, our Edge-AI platform unlocked a $2.4B market. McKinsey notes Level 4 business building yields 31x multiples, pr",83,2,0,0
urn:li:activity:7484936411108904960,,,,2026-07-20T11:45:03.802Z,"𝐄𝐯𝐞𝐫 𝐩𝐢𝐭𝐜𝐡𝐞𝐝 𝐚 𝐠𝐚𝐦𝐞-𝐜𝐡𝐚𝐧𝐠𝐢𝐧𝐠 𝐢𝐝𝐞𝐚, 𝐨𝐧𝐥𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐚𝐧 𝐞𝐱𝐞𝐜𝐮𝐭𝐢𝐯𝐞 𝐤𝐢𝐥𝐥 𝐲𝐨𝐮𝐫 𝐛𝐮𝐝𝐠𝐞𝐭 𝐚𝐧𝐝 𝐰𝐚𝐭𝐜𝐡 𝐚 𝐫𝐢𝐯𝐚𝐥 𝐭𝐞𝐚𝐦 𝐬𝐭𝐞𝐚𝐥 𝐭𝐡𝐞 𝐜𝐫𝐞𝐝𝐢𝐭? Welcome to the club. You have exactly the same career trajectory as Nikola Tesla.",107,0,0,0
urn:li:activity:7484691034799751170,,,,2026-07-19T19:30:01.531Z,"𝐄𝐯𝐞𝐫 𝐩𝐢𝐭𝐜𝐡𝐞𝐝 𝐚 𝐠𝐚𝐦𝐞-𝐜𝐡𝐚𝐧𝐠𝐢𝐧𝐠 𝐢𝐝𝐞𝐚, 𝐨𝐧𝐥𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐚𝐧 𝐞𝐱𝐞𝐜𝐮𝐭𝐢𝐯𝐞 𝐤𝐢𝐥𝐥 𝐲𝐨𝐮𝐫 𝐛𝐮𝐝𝐠𝐞𝐭 𝐚𝐧𝐝 𝐰𝐚𝐭𝐜𝐡 𝐚 𝐫𝐢𝐯𝐚𝐥 𝐭𝐞𝐚𝐦 𝐬𝐭𝐞𝐚𝐥 𝐭𝐡𝐞 𝐜𝐫𝐞𝐝𝐢𝐭? Welcome to the club. ⚡  I read about Nikola Tesla and realized I don't actually k",604,3,0,1
urn:li:activity:7484624611645583360,,,,2026-07-19T15:06:05.017Z,"𝐀𝐠𝐞𝐧𝐭𝐢𝐜 𝐇𝐨𝐦𝐞𝐬: 𝐀 𝐅𝐫𝐢𝐜𝐭𝐢𝐨𝐧𝐥𝐞𝐬𝐬 𝐑𝐞𝐥𝐢𝐞𝐟 𝐨𝐫 𝐚 𝐖𝐚𝐥𝐥𝐞𝐝 𝐆𝐚𝐫𝐝𝐞𝐧 𝐍𝐢𝐠𝐡𝐭𝐦𝐚𝐫𝐞?  Smart homes promised seamless, autonomous living. What most people got was five apps, three remotes, and a Samsung fridge with a cam",149,0,0,0
